method	fold	n_train	n_test	auc	brier	log_loss	ece	threshold_from_training
platt	1	3200	800	0.80483137254902	0.182242510478601	0.544823062166135	0.0473768201012019	0.478380840191005
platt	2	3200	800	0.827562274909964	0.169417633448844	0.514280400314655	0.0472967476524555	0.472562098502343
platt	3	3200	800	0.822570662265319	0.172390746331992	0.519883868914957	0.0364798731107176	0.467414023041793
platt	4	3200	800	0.815839813958141	0.175223166633285	0.521782737586188	0.0402995655006343	0.47456965716021
platt	5	3200	800	0.821313320825516	0.174119453880269	0.51717024224307	0.0522095640357431	0.464802241421014
isotonic	1	3200	800	0.80483137254902	0.181995663669761	0.544063502267678	0.0495436774474563	0.5
isotonic	2	3200	800	0.827562274909964	0.170134347680637	0.55473655135445	0.0359926242251387	0.559748427672956
isotonic	3	3200	800	0.822570662265319	0.174649028480571	0.523652164524045	0.0334721437011628	0.5
isotonic	4	3200	800	0.815839813958141	0.178557155537342	0.529645798358985	0.0597959911524257	0.529411764705882
isotonic	5	3200	800	0.821313320825516	0.174873037284696	0.520371122038655	0.0630556536918986	0.5
