p	brier_binary_label_as_prediction	brier_true_probability_as_prediction	theoretical_2p1minusp	theoretical_p1minusp
0.05	0.0953	0.04579	0.095	0.0475
0.1	0.1817	0.09116	0.18	0.09
0.15	0.25655	0.1282	0.255	0.1275
0.2	0.3175	0.15958	0.32	0.16
0.25	0.37445	0.186925	0.375	0.1875
0.3	0.42325	0.20956	0.42	0.21
0.35	0.4549	0.226375	0.455	0.2275
0.4	0.4789	0.23988	0.48	0.24
0.45	0.4923	0.24795	0.495	0.2475
0.5	0.49605	0.25	0.5	0.25
0.55	0.49525	0.24782	0.495	0.2475
0.6	0.47935	0.23961	0.48	0.24
0.65	0.45775	0.226165	0.455	0.2275
0.7	0.42065	0.21088	0.42	0.21
0.75	0.37405	0.18815	0.375	0.1875
0.8	0.3211	0.16213	0.32	0.16
0.85	0.25755	0.127815	0.255	0.1275
0.9	0.1765	0.088	0.18	0.0899999999999999
0.95	0.0975	0.049525	0.0950000000000001	0.0475
