caller	caller_version	dataset	tumor_fraction	replicate	signal_source	neutral_center	reference_interval_alpha	n_truth_arms_unmasked	n_truth_gain	n_truth_loss	n_truth_neutral	n_truth_mixed	n_directional_arms	n_directional_arms_evaluable	n_true_tumor_cells_manifest	n_true_tumor_cells_scored	tumor_cell_retention_pct	n_reference_B_input	n_reference_B_scored	reference_cell_retention_pct	gain_direction_recovery_pct	loss_direction_recovery_pct	directional_concordance_pct	gain_recovery_ref95_pct	loss_recovery_ref95_pct	directional_concordance_ref95_pct
copykat	1.2.5	LLU_p01_r01	0.01	1	CopyKAT_CNAmat	0	0.05	37	22	0	5	10	22	22	10	10	100	432	402	93.0555555555556	68.1818181818182		68.1818181818182	27.2727272727273		27.2727272727273
copykat	1.2.5	LLU_p05_r01	0.05	1	CopyKAT_CNAmat	0	0.05	37	22	0	5	10	22	22	50	47	94	432	402	93.0555555555556	77.2727272727273		77.2727272727273	27.2727272727273		27.2727272727273
copykat	1.2.5	LLU_p10_r01	0.1	1	CopyKAT_CNAmat	0	0.05	37	22	0	5	10	22	22	100	97	97	432	402	93.0555555555556	77.2727272727273		77.2727272727273	27.2727272727273		27.2727272727273
copykat	1.2.5	LLU_p20_r01	0.2	1	CopyKAT_CNAmat	0	0.05	37	22	0	5	10	22	22	200	194	97	432	401	92.8240740740741	77.2727272727273		77.2727272727273	27.2727272727273		27.2727272727273
copykat	1.2.5	LLU_p40_r01	0.4	1	CopyKAT_CNAmat	0	0.05	37	22	0	5	10	22	22	400	393	98.25	432	400	92.5925925925926	72.7272727272727		72.7272727272727	27.2727272727273		27.2727272727273
copykat	1.2.5	LLU_p80_r01	0.8	1	CopyKAT_CNAmat	0	0.05	37	22	0	5	10	22	22	800	777	97.125	432	399	92.3611111111111	77.2727272727273		77.2727272727273	27.2727272727273		27.2727272727273
infercnv	1.19.1	LLU_p01_r01	0.01	1	inferCNV_final_expr_data	1	0.05	37	22	0	5	10	22	22	10	10	100	432	432	100	68.1818181818182		68.1818181818182	31.8181818181818		31.8181818181818
infercnv	1.19.1	LLU_p05_r01	0.05	1	inferCNV_final_expr_data	1	0.05	37	22	0	5	10	22	22	50	50	100	432	432	100	68.1818181818182		68.1818181818182	31.8181818181818		31.8181818181818
infercnv	1.19.1	LLU_p10_r01	0.1	1	inferCNV_final_expr_data	1	0.05	37	22	0	5	10	22	22	100	100	100	432	432	100	68.1818181818182		68.1818181818182	27.2727272727273		27.2727272727273
infercnv	1.19.1	LLU_p20_r01	0.2	1	inferCNV_final_expr_data	1	0.05	37	22	0	5	10	22	22	200	200	100	432	432	100	63.6363636363636		63.6363636363636	27.2727272727273		27.2727272727273
infercnv	1.19.1	LLU_p40_r01	0.4	1	inferCNV_final_expr_data	1	0.05	37	22	0	5	10	22	22	400	400	100	432	432	100	68.1818181818182		68.1818181818182	27.2727272727273		27.2727272727273
infercnv	1.19.1	LLU_p80_r01	0.8	1	inferCNV_final_expr_data	1	0.05	37	22	0	5	10	22	22	800	800	100	432	432	100	68.1818181818182		68.1818181818182	27.2727272727273		27.2727272727273
scevan	1.0.3	LLU_p01_r01	0.01	1	SCEVAN_CNA_mtx_relat	0	0.05	37	22	0	5	10	22	22	10	10	100	432	403	93.287037037037	54.5454545454546		54.5454545454546	22.7272727272727		22.7272727272727
scevan	1.0.3	LLU_p05_r01	0.05	1	SCEVAN_CNA_mtx_relat	0	0.05	37	22	0	5	10	22	22	50	47	94	432	403	93.287037037037	45.4545454545455		45.4545454545455	27.2727272727273		27.2727272727273
scevan	1.0.3	LLU_p10_r01	0.1	1	SCEVAN_CNA_mtx_relat	0	0.05	37	22	0	5	10	22	22	100	97	97	432	403	93.287037037037	50		50	22.7272727272727		22.7272727272727
scevan	1.0.3	LLU_p20_r01	0.2	1	SCEVAN_CNA_mtx_relat	0	0.05	37	22	0	5	10	22	22	200	194	97	432	401	92.8240740740741	40.9090909090909		40.9090909090909	18.1818181818182		18.1818181818182
scevan	1.0.3	LLU_p40_r01	0.4	1	SCEVAN_CNA_mtx_relat	0	0.05	37	22	0	5	10	22	22	400	394	98.5	432	401	92.8240740740741	45.4545454545455		45.4545454545455	13.6363636363636		13.6363636363636
scevan	1.0.3	LLU_p80_r01	0.8	1	SCEVAN_CNA_mtx_relat	0	0.05	37	22	0	5	10	22	22	800	777	97.125	432	401	92.8240740740741	50		50	13.6363636363636		13.6363636363636
