arm_id	chrom	callable_mb	n_segments	frac_gain	frac_loss	frac_loh	frac_neutral	mean_cn	state_call	masked	source	masked_bool	chrom_from_arm	truth_loh	n_consensus_segments	n_cnloh_segments	n_loh_or_del_segments	any_cnloh_segment	any_loh_or_del_segment	max_p_loh	max_p_loh_or_del	cnloh_bp	loh_or_del_bp	arm_bp	cnloh_frac_arm	loh_or_del_frac_arm	numbat_cnloh_call	numbat_loh_or_del_call
1p	chr1	121.39	57	0.5631	0.0614	0.9297	0.3756	2.723	gain	FALSE	masood_consensus	FALSE	1	TRUE	2	1	2	TRUE	TRUE	0.988897940553528	1	2556433	120751836	121699999	0.0210060231800002	0.992209013904758	FALSE	TRUE
1q	chr1	105.74	7	0.9996	0	0	4e-04	3.559	gain	FALSE	masood_consensus	FALSE	1	FALSE	4	1	2	TRUE	TRUE	0.988897940553528	0.999999197632744	54091482	68094605	123856422	0.436727309949257	0.54978663116879	FALSE	TRUE
2p	chr2	90.52	21	0.4625	2e-04	0.7197	0.5372	2.753	mixed	FALSE	masood_consensus	FALSE	2	TRUE	1	0	1	FALSE	TRUE	0.5	1	0	91581864	91799999	0	0.997623801717035	FALSE	TRUE
2q	chr2	146.13	39	0.6551	0.1106	0.3936	0.2343	2.871	gain	FALSE	masood_consensus	FALSE	2	FALSE	1	0	1	FALSE	TRUE	0.5	1	0	145701312	146193529	0	0.996633113631179	FALSE	TRUE
3p	chr3	87.79	35	0.7502	0	0.8855	0.2498	2.843	gain	FALSE	masood_consensus	FALSE	3	TRUE	2	0	2	FALSE	TRUE	0.18036812496621	1	0	87568834	87799999	0	0.997367141200081	FALSE	TRUE
3q	chr3	104.24	13	0.5591	7e-04	0.7646	0.4402	3.029	gain	FALSE	masood_consensus	FALSE	3	TRUE	3	1	3	TRUE	TRUE	0.639535111720601	1	7458064	103711465	104295559	0.0715089316506756	0.99439962731299	FALSE	TRUE
4p	chr4	48.09	15	0.3701	0.2199	0.4949	0.41	2.149	mixed	FALSE	masood_consensus	FALSE	4	FALSE	4	1	3	TRUE	TRUE	0.601702981693524	1	9437509	47821782	48199999	0.195798945970932	0.992153174111062	FALSE	TRUE
4q	chr4	138.31	7	0.6234	0	0.3758	0.3766	3.017	gain	FALSE	masood_consensus	FALSE	4	FALSE	2	1	1	TRUE	TRUE	0.601702981693524	0.6017031208809	1073505	1073505	138414555	0.00775572337750174	0.00775572337750174	FALSE	FALSE
5p	chr5	46.04	2	1	0	0	0	4.395	gain	FALSE	masood_consensus	FALSE	5	FALSE	2	0	0	FALSE	FALSE	0.37715792385243	0.377157923875265	0	0	46099999	0	0	FALSE	FALSE
5q	chr5	131.37	27	0.32	0.0014	0.9911	0.6786	2.317	mixed	FALSE	masood_consensus	FALSE	5	TRUE	2	0	1	FALSE	TRUE	0.5	1	0	127155180	130138259	0	0.977077617121034	FALSE	TRUE
6q	chr6	108.05	34	0.7024	0.1567	0.7112	0.1409	2.683	gain	FALSE	masood_consensus	FALSE	6	TRUE	2	1	2	TRUE	TRUE	1	1	10028542	107958624	108205979	0.0926801096638107	0.997714035746583	FALSE	TRUE
7p	chr7	58.09	6	0.8928	0.0424	0.446	0.0648	3.353	gain	FALSE	masood_consensus	FALSE	7	FALSE	2	0	1	FALSE	TRUE	0.0917091134097556	1	0	34381877	58099999	0	0.59177069865354	FALSE	TRUE
7q	chr7	97.14	3	1	0	0	0	5.285	gain	FALSE	masood_consensus	FALSE	7	FALSE	2	1	1	TRUE	TRUE	0.999999998209066	1	75859925	75859925	97245973	0.780082944925647	0.780082944925647	TRUE	TRUE
8p	chr8	43.04	5	0	0	0.9751	1	2	neutral	FALSE	masood_consensus	FALSE	8	TRUE	1	1	1	TRUE	TRUE	0.594490997144195	1	42980634	42980634	43199999	0.994922106363938	0.994922106363938	TRUE	TRUE
8q	chr8	97.83	24	0.9515	0.0184	0.9743	0.0301	4.052	gain	FALSE	masood_consensus	FALSE	8	TRUE	1	1	1	TRUE	TRUE	0.594490997144195	1	97852467	97852467	97938636	0.999120173574809	0.999120173574809	TRUE	TRUE
9p	chr9	42.19	16	0.4337	0.0056	0.5542	0.5607	2.836	mixed	FALSE	masood_consensus	FALSE	9	TRUE	1	0	1	FALSE	TRUE	9.09632553099018e-08	1	0	42116990	42199999	0	0.998032962038696	FALSE	TRUE
9q	chr9	76.31	29	0.7236	0	0.2861	0.2764	3.208	gain	FALSE	masood_consensus	FALSE	9	FALSE	4	1	4	TRUE	TRUE	0.968456979851704	1	23445860	91817664	92894717	0.252391747961297	0.988405659279849	FALSE	TRUE
10p	chr10	37.99	9	0.2051	0	0.8359	0.7949	2.452	mixed	FALSE	masood_consensus	FALSE	10	TRUE	2	0	1	FALSE	TRUE	0.14976245378011	1	0	32198779	37999999	0	0.847336311772008	FALSE	TRUE
10q	chr10	91.8	35	0.3346	6e-04	0.7943	0.6648	2.661	mixed	FALSE	masood_consensus	FALSE	10	TRUE	2	0	1	FALSE	TRUE	0.14976245378011	1	0	73783280	92197422	0	0.80027487102622	FALSE	TRUE
11p	chr11	50.76	5	0	0.0054	0.9926	0.9946	1.989	neutral	FALSE	masood_consensus	FALSE	11	TRUE	1	0	1	FALSE	TRUE	0.0051127651457935	1	0	50792600	50999999	0	0.995933352861438	FALSE	TRUE
11q	chr11	79.15	7	0.1841	1e-04	0.8117	0.8158	2.508	neutral	FALSE	masood_consensus	FALSE	11	TRUE	3	1	3	TRUE	TRUE	0.999990773394209	1	7640799	77698694	79286622	0.0963693345391862	0.979972308569282	FALSE	TRUE
12p	chr12	33.19	6	0.9985	0	0.2049	0.0015	4.106	gain	FALSE	masood_consensus	FALSE	12	FALSE	3	1	2	TRUE	TRUE	0.822660045607472	1	15642481	16856373	33199999	0.471159080456599	0.507722093606087	FALSE	TRUE
12q	chr12	95.46	4	0	2e-04	0.9999	0.9998	2	neutral	FALSE	masood_consensus	FALSE	12	TRUE	1	0	1	FALSE	TRUE	2.86821931894027e-27	1	0	95381495	95475309	0	0.999017400404538	FALSE	TRUE
16p	chr16	35.04	9	0.9978	0	0	0.0022	4.29	gain	FALSE	masood_consensus	FALSE	16	FALSE	3	1	2	TRUE	TRUE	1	1	25262870	34336026	35299999	0.715662059933769	0.972691982229234	TRUE	TRUE
17p	chr17	22.53	11	0.8359	0	0.9926	0.1641	2.836	gain	FALSE	masood_consensus	FALSE	17	TRUE	1	0	1	FALSE	TRUE	0.5	1	0	22289649	22699999	0	0.981922906692639	FALSE	TRUE
17q	chr17	55.8	15	0.2861	0	0.9775	0.7139	2.75	mixed	FALSE	masood_consensus	FALSE	17	TRUE	1	0	1	FALSE	TRUE	0.5	1	0	55651760	55857441	0	0.996317751112157	FALSE	TRUE
18p	chr18	15.39	4	0.2562	9e-04	0.7407	0.7429	2.529	mixed	FALSE	masood_consensus	FALSE	18	TRUE	1	0	1	FALSE	TRUE	0.400487557406325	0.999999999976745	0	15159073	15399999	0	0.984355453529575	FALSE	TRUE
